163.143.11.51	std1tc1
163.143.11.52	std1tc2
163.143.11.53	std1tc3
163.143.11.54	std1tc4
163.143.11.55	std1tc5
163.143.11.56	std1tc6
163.143.11.57	std1tc7
163.143.11.58	std1tc8
163.143.11.59	std1tc9
163.143.11.60	std1tc10
163.143.11.61	std1tc11
163.143.11.62	std1tc12
163.143.11.63	std1tc13
163.143.11.64	std1tc14
163.143.11.65	std1tc15
163.143.11.66	std1tc16
163.143.11.67	std1tc17
163.143.11.68	std1tc18
163.143.11.69	std1tc19
163.143.11.70	std1tc20
163.143.11.71	std1tc21
163.143.11.72	std1tc22
163.143.11.73	std1tc23
163.143.11.74	std1tc24
163.143.11.75	std1tc25
163.143.11.76	std1tc26
163.143.11.77	std1tc27
163.143.11.78	std1tc28
163.143.11.79	std1tc29
163.143.11.80	std1tc30
163.143.11.81	std1tc31
163.143.11.82	std1tc32
163.143.11.83	std1tc33
163.143.11.84	std1tc34
163.143.11.85	std1tc35
163.143.11.86	std1tc36
163.143.11.87	std1tc37
163.143.11.88	std1tc38
163.143.11.89	std1tc39
163.143.11.90	std1tc40
163.143.11.91	std1tc41
163.143.11.92	std1tc42
163.143.11.93	std1tc43
163.143.11.94	std1tc44
163.143.11.95	std1tc45
163.143.11.96	std1tc46
163.143.12.51	std2tc1
163.143.12.52	std2tc2
163.143.12.53	std2tc3
163.143.12.54	std2tc4
163.143.12.55	std2tc5
163.143.12.56	std2tc6
163.143.12.57	std2tc7
163.143.12.58	std2tc8
163.143.12.59	std2tc9
163.143.12.60	std2tc10
163.143.12.61	std2tc11
163.143.12.62	std2tc12
163.143.12.63	std2tc13
163.143.12.64	std2tc14
163.143.12.65	std2tc15
163.143.12.66	std2tc16
163.143.12.67	std2tc17
163.143.12.68	std2tc18
163.143.12.69	std2tc19
163.143.12.70	std2tc20
163.143.12.71	std2tc21
163.143.12.72	std2tc22
163.143.12.73	std2tc23
163.143.12.74	std2tc24
163.143.12.75	std2tc25
163.143.12.76	std2tc26
163.143.12.77	std2tc27
163.143.12.78	std2tc28
163.143.12.79	std2tc29
163.143.12.80	std2tc30
163.143.12.81	std2tc31
163.143.12.82	std2tc32
163.143.12.83	std2tc33
163.143.12.84	std2tc34
163.143.12.85	std2tc35
163.143.12.86	std2tc36
163.143.12.87	std2tc37
163.143.12.88	std2tc38
163.143.12.89	std2tc39
163.143.12.90	std2tc40
163.143.12.91	std2tc41
163.143.12.92	std2tc42
163.143.12.93	std2tc43
163.143.12.94	std2tc44
163.143.12.95	std2tc45
163.143.12.96	std2tc46
163.143.13.100	std3tc50
163.143.13.101	std3tc51
163.143.13.102	std3tc52
163.143.13.51	std3tc1
163.143.13.52	std3tc2
163.143.13.53	std3tc3
163.143.13.54	std3tc4
163.143.13.55	std3tc5
163.143.13.56	std3tc6
163.143.13.57	std3tc7
163.143.13.58	std3tc8
163.143.13.59	std3tc9
163.143.13.60	std3tc10
163.143.13.61	std3tc11
163.143.13.62	std3tc12
163.143.13.63	std3tc13
163.143.13.64	std3tc14
163.143.13.65	std3tc15
163.143.13.66	std3tc16
163.143.13.67	std3tc17
163.143.13.68	std3tc18
163.143.13.69	std3tc19
163.143.13.70	std3tc20
163.143.13.71	std3tc21
163.143.13.72	std3tc22
163.143.13.73	std3tc23
163.143.13.74	std3tc24
163.143.13.75	std3tc25
163.143.13.76	std3tc26
163.143.13.77	std3tc27
163.143.13.78	std3tc28
163.143.13.79	std3tc29
163.143.13.80	std3tc30
163.143.13.81	std3tc31
163.143.13.82	std3tc32
163.143.13.83	std3tc33
163.143.13.84	std3tc34
163.143.13.85	std3tc35
163.143.13.86	std3tc36
163.143.13.87	std3tc37
163.143.13.88	std3tc38
163.143.13.89	std3tc39
163.143.13.90	std3tc40
163.143.13.91	std3tc41
163.143.13.92	std3tc42
163.143.13.93	std3tc43
163.143.13.94	std3tc44
163.143.13.95	std3tc45
163.143.13.96	std3tc46
163.143.13.97	std3tc47
163.143.13.98	std3tc48
163.143.13.99	std3tc49
163.143.14.100	std4tc50
163.143.14.101	std4tc51
163.143.14.102	std4tc52
163.143.14.51	std4tc1
163.143.14.52	std4tc2
163.143.14.53	std4tc3
163.143.14.54	std4tc4
163.143.14.55	std4tc5
163.143.14.56	std4tc6
163.143.14.57	std4tc7
163.143.14.58	std4tc8
163.143.14.59	std4tc9
163.143.14.60	std4tc10
163.143.14.61	std4tc11
163.143.14.62	std4tc12
163.143.14.63	std4tc13
163.143.14.64	std4tc14
163.143.14.65	std4tc15
163.143.14.66	std4tc16
163.143.14.67	std4tc17
163.143.14.68	std4tc18
163.143.14.69	std4tc19
163.143.14.70	std4tc20
163.143.14.71	std4tc21
163.143.14.72	std4tc22
163.143.14.73	std4tc23
163.143.14.74	std4tc24
163.143.14.75	std4tc25
163.143.14.76	std4tc26
163.143.14.77	std4tc27
163.143.14.78	std4tc28
163.143.14.79	std4tc29
163.143.14.80	std4tc30
163.143.14.81	std4tc31
163.143.14.82	std4tc32
163.143.14.83	std4tc33
163.143.14.84	std4tc34
163.143.14.85	std4tc35
163.143.14.86	std4tc36
163.143.14.87	std4tc37
163.143.14.88	std4tc38
163.143.14.89	std4tc39
163.143.14.90	std4tc40
163.143.14.91	std4tc41
163.143.14.92	std4tc42
163.143.14.93	std4tc43
163.143.14.94	std4tc44
163.143.14.95	std4tc45
163.143.14.96	std4tc46
163.143.14.97	std4tc47
163.143.14.98	std4tc48
163.143.14.99	std4tc49
163.143.15.183	std5dc143
163.143.15.184	std5dc141
163.143.15.185	std5dc144
163.143.15.31	std5dc1
163.143.15.32	std5dc2
163.143.15.33	std5dc3
163.143.15.34	std5dc4
163.143.15.35	std5dc5
163.143.15.36	std5dc6
163.143.15.37	std5dc7
163.143.15.38	std5dc8
163.143.15.39	std5dc9
163.143.15.40	std5dc10
163.143.15.41	std5dc11
163.143.15.42	std5dc12
163.143.15.43	std5dc13
163.143.15.44	std5dc14
163.143.15.45	std5dc15
163.143.15.46	std5dc16
163.143.15.47	std5dc17
163.143.15.48	std5dc18
163.143.15.49	std5dc19
163.143.15.50	std5dc20
163.143.15.51	std5dc21
163.143.15.52	std5dc22
163.143.15.53	std5dc23
163.143.15.54	std5dc24
163.143.15.55	std5dc25
163.143.15.56	std5dc26
163.143.15.57	std5dc27
163.143.15.58	std5dc28
163.143.15.59	std5dc29
163.143.15.60	std5dc30
163.143.15.61	std5dc31
163.143.15.62	std5dc32
163.143.15.63	std5dc33
163.143.15.64	std5dc34
163.143.15.65	std5dc35
163.143.15.66	std5dc36
163.143.15.67	std5dc37
163.143.15.68	std5dc38
163.143.15.69	std5dc39
163.143.15.70	std5dc40
163.143.15.71	std5dc41
163.143.15.72	std5dc42
163.143.15.73	std5dc43
163.143.15.74	std5dc44
163.143.15.75	std5dc45
163.143.15.76	std5dc46
163.143.15.77	std5dc47
163.143.15.78	std5dc48
163.143.15.79	std5dc49
163.143.15.80	std5dc50
163.143.15.81	std5dc51
163.143.15.82	std5dc52
163.143.16.31	std6dc1
163.143.16.32	std6dc2
163.143.16.33	std6dc3
163.143.16.34	std6dc4
163.143.16.35	std6dc5
163.143.16.36	std6dc6
163.143.16.37	std6dc7
163.143.16.38	std6dc8
163.143.16.39	std6dc9
163.143.16.40	std6dc10
163.143.16.41	std6dc11
163.143.16.42	std6dc12
163.143.16.43	std6dc13
163.143.16.44	std6dc14
163.143.16.45	std6dc15
163.143.16.46	std6dc16
163.143.16.47	std6dc17
163.143.16.48	std6dc18
163.143.16.49	std6dc19
163.143.16.50	std6dc20
163.143.16.51	std6dc21
163.143.16.52	std6dc22
163.143.16.53	std6dc23
163.143.16.54	std6dc24
163.143.16.55	std6dc25
163.143.16.56	std6dc26
163.143.16.57	std6dc27
163.143.16.58	std6dc28
163.143.16.59	std6dc29
163.143.16.60	std6dc30
163.143.16.61	std6dc31
163.143.16.62	std6dc32
163.143.16.63	std6dc33
163.143.16.64	std6dc34
163.143.16.65	std6dc35
163.143.16.66	std6dc36
163.143.16.67	std6dc37
163.143.16.68	std6dc38
163.143.16.69	std6dc39
163.143.16.70	std6dc40
163.143.16.71	std6dc41
163.143.16.72	std6dc42
163.143.16.73	std6dc43
163.143.16.74	std6dc44
163.143.16.75	std6dc45
163.143.16.76	std6dc46
163.143.16.77	std6dc47
163.143.16.78	std6dc48
163.143.16.79	std6dc49
163.143.16.80	std6dc50
163.143.16.81	std6dc51
163.143.16.82	std6dc52
